Location Name,Location Num,Operator,Type,State,Open Date
101 & Broadway FSU,05294,Joey Hickox,FSU,CA,25-Nov
101 & Telephone FSU,02331,Robert Shaffer,FSU,CA,13-Feb
101 & Winnetka FSU,03811,Dream Wright,FSU,CA,20-Dec
101 South Tryon Street,00462,Andre Harakas,MALL,NC,Dec-92
104th & Federal FSU,00834,Scott Wehn,FSU,CO,Jun-00
105 & Lonestar Pkwy FSU,04051,Joseph Piotrowski,FSU,TX,20-May
10th Street FSU,01450,Rudy Martinez,FSU,TX,2-Dec
113th & Nall (KS) FSU,04543,Dustin Andrews,FSU,KS,22-Dec
114th & Quaker Avenue FSU,03843,Brad Norris,FSU,TX,20-Jul
120th & Bradburn FSU,04042,Scott Wehn,FSU,CO,21-Sep
120th & Washington FSU,01291,Scott Wehn,FSU,CO,2-Jul
123rd & Dodge FSU,03606,Mason Mayes,FSU,NE,16-Feb
124th and Capitol FSU,03252,Jim Frasier,FSU,WI,14-Sep
12th Avenue FSU,03771,Nick Mauldin,FSU,OK,19-Jan
12th Street FSU,04375,Casey Hartley,FSU,PA,21-Feb
135th and 69 Hwy FSU,01975,Kylie Oberweather,FSU,KS,7-Apr
13th & Utica FSU,05429,David Chen,FSU,OK,25-Apr
1536 3rd Avenue In-Line,04221,Jared Caldwell,MALL,NY,19-Jul
156th & Maple (NE) FSU,05599,Grahm Talbitzer,FSU,NE,24-Oct
15th & Sooner FSU,04401,Bill Redenius,FSU,OK,20-Jul
17th and Wanamaker FSU,03763,Justin Lamison,FSU,KS,16-Oct
17th at Tustin FSU,03756,Peter Brakke,FSU,CA,22-Jul
190th & Western FSU,04512,Philip Myers,FSU,CA,24-Oct
1960 & Cutten DTO,00599,Kevin Caddenhead,DTO,TX,Jun-96
1960 & Walters FSU,03338,Kevin Caddenhead,FSU,TX,15-May
1960 / I-45 FSU,02826,Tyler Pierotti,FSU,TX,12-Jun
1960 and Eldridge Parkway FSU,01199,Colleen Pamphile,FSU,TX,2-Mar
216 West 125th Street In-Line,04560,Kevin Young,MALL,NY,22-Dec
219 West 34th Street In-Line,04750,Oscar Fittipaldi,MALL,NY,22-Oct
21st & Maize FSU,03015,Jason Lansdown,FSU,KS,12-Aug
21st & Range Line Road FSU,01886,Rick Starkweather,FSU,MO,8-Feb
2276 Bartow Avenue In-Line,05358,K.C. Jones,MALL,NY,24-Sep
22nd & 6th In-Line,04161,Josh Baals,MALL,NY,19-Aug
240 & Western FSU,02572,Steve Steward,FSU,OK,9-Dec
242 & Harpers Preserve DTO,04777,Casey Hughes,DTO,TX,22-Aug
249 at Jones Road FSU,01337,Cindy Smith,FSU,TX,2-Jan
272nd at Wax FSU,03568,Marc Schuh,FSU,WA,18-Apr
27th & Nolana FSU,03556,Luis Magdaleno,FSU,TX,17-Mar
281 & Trenton FSU,03926,Rudy Martinez,FSU,TX,20-Dec
288 & Southfork Drive DTO,04063,Bryan Bullington,DTO,TX,18-Jul
288 at West Broad Street FSU,04867,Rob Preservati,FSU,VA,23-Jun
28th & Beltline FSU,03723,Jamie Ochsner,FSU,MI,18-Mar
290 and Spring Cypress FSU,01671,Norm Kober,FSU,TX,5-Oct
2920 / Kuykendahl FSU,02069,Mike Ludwig,FSU,TX,7-Dec
29th & Town Center FSU,02033,Bill Redenius,FSU,OK,8-Jan
2nd & Bryant FSU,02612,Greg Harjo,FSU,OK,10-Jul
303 & Waddell DTO,05064,Drew Polanycia,DTO,AZ,23-Sep
31st & Park (NY) In-Line,04430,Josh Baals,MALL,NY,22-Oct
336 Marketplace FSU,03922,Casey Hughes,FSU,TX,19-Jun
33rd & Broadway FSU,00539,Mac McMurry,FSU,OK,Dec-95
